,Brazil,China,Canada,Denmark,Finland,Italy
count,62,62,62,62,62,62
mean,1.752891878,1.209874766,1.22377084,0.396741333,0.361263918,0.262339067
std,0.737770765,0.80288117,0.414442755,0.243198409,0.186467355,0.395261455
min,0,-1.015527787,0,-0.073481,-0.378718238,-1.153028424
25%,1.050946656,0.596760865,0.993851481,0.26264127,0.2690393,0.028805497
50%,1.733376714,1.139940032,1.137053377,0.360739102,0.367909813,0.188989022
75%,2.369377026,1.543795979,1.38696212,0.570475147,0.473244437,0.567299002
max,2.921449282,2.787331838,2.948194528,0.803006033,0.706977468,1.159251117
,,,,,,
,,,,,,
Country Name,,,,,,
Brazil     9.070727,,,,,,
China      8.633132,,,,,,
Canada     8.763034,,,,,,
Denmark    8.070415,,,,,,
Finland    7.998273,,,,,,
Italy      7.931115,,,,,,
